Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,83/200,.415,44/67,.657,15,225,33,118,108,29,16,37,2.919,24,16
CWB Shams,150/311,.482,63/82,.768,60,423,31,137,110,19,22,43,2.558,24,16
Alex's Team,126/270,.467,32/39,.821,41,325,35,110,92,16,16,42,2.190,23,16
Goodtime Brother,156/328,.476,71/89,.798,42,425,20,131,81,17,17,39,2.077,23,16
Deng's Team,129/300,.430,86/104,.827,33,377,20,132,53,20,7,45,1.178,24,16
达里安人阿闹,136/277,.491,51/64,.797,38,361,56,203,89,29,24,53,1.679,26,16
GiannisISmySON,103/224,.460,46/62,.742,25,277,22,98,69,18,14,25,2.760,24,16
Luke's Team,138/297,.465,70/85,.824,51,397,23,99,98,29,3,39,2.513,26,16
Kojima Production,120/253,.474,74/94,.787,35,349,28,99,71,26,10,43,1.651,27,16
离岛落得慢,136/267,.509,43/60,.717,40,355,27,137,100,18,6,33,3.030,25,16
Michael Chow's Team,107/201,.532,46/62,.742,42,302,31,103,50,18,13,26,1.923,24,16
TST WATER CANNON,105/239,.439,67/91,.736,17,294,36,131,47,12,4,32,1.469,24,16
sean's Dazzling Team,160/305,.525,53/64,.828,35,408,21,101,68,19,7,36,1.889,25,16
甄姬拔菜,109/198,.551,41/57,.719,16,275,52,146,65,23,22,26,2.500,25,16
