Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,228/513,.444,109/127,.858,52,617,45,198,89,50,32,66,1.348,46,7
Jameson's Nifty Team,164/350,.469,70/91,.769,40,438,67,223,82,26,34,44,1.864,43,7
GUCCI GUCCI,268/564,.475,101/131,.771,87,724,51,276,150,42,40,91,1.648,45,7
waterbro is godlike's Rad Team,222/441,.503,111/143,.776,75,630,57,246,138,53,26,86,1.605,47,7
Jinwei's Swag Team,213/440,.484,75/93,.806,54,555,58,250,169,45,33,75,2.253,48,7
sean's Team,209/432,.484,101/118,.856,59,578,48,180,100,42,21,72,1.389,41,7
max,242/458,.528,87/113,.770,73,644,52,230,146,49,38,77,1.896,49,7
YY,277/552,.502,114/151,.755,77,745,67,312,201,44,17,83,2.422,46,7
🍵茶🍵,244/531,.460,100/127,.787,81,669,74,282,214,71,20,84,2.548,46,7
歪炮 mvp Team,88/199,.442,34/40,.850,26,236,21,72,89,17,10,35,2.543,37,7
立超's Notable Team,148/316,.468,54/72,.750,62,412,19,124,98,29,11,50,1.960,34,7
INJ CAMP,198/413,.479,94/120,.783,53,543,41,164,130,35,21,71,1.831,43,7
脆皮队,257/542,.474,96/123,.780,80,690,58,246,146,43,24,96,1.521,46,7
江郎才尽 理屈词穷 黔驴技穷,194/416,.466,80/92,.870,62,530,39,161,99,36,18,59,1.678,43,7
想夺冠的联系我 Cash Only,197/411,.479,94/132,.712,57,545,42,196,120,41,22,76,1.579,43,7
SINCE’02,234/473,.495,104/124,.839,76,648,77,285,147,51,20,76,1.934,48,7
