Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,75/163,.460,25/33,.758,20,195,23,92,69,15,17,27,2.556,19,4
江郎才尽 理屈词穷 黔驴技穷,110/220,.500,56/83,.675,34,310,30,104,63,19,9,30,2.100,20,4
GUCCI GUCCI,111/242,.459,70/77,.909,29,321,22,106,57,11,8,30,1.900,18,4
waterbro is godlike's Rad Team,61/125,.488,43/46,.935,24,189,16,64,29,10,6,18,1.611,19,4
Jinwei's Swag Team,73/135,.541,17/22,.773,17,180,22,85,38,14,10,24,1.583,18,4
想夺冠的联系我 Cash Only,46/114,.404,28/32,.875,24,144,6,39,34,15,8,11,3.091,15,4
Hali Hali,74/138,.536,33/43,.767,26,207,11,64,64,15,7,28,2.286,15,4
Reaper,99/178,.556,48/57,.842,28,274,13,67,44,14,8,28,1.571,15,4
max,102/185,.551,25/36,.694,31,260,35,104,60,25,14,31,1.935,18,4
立超's Notable Team,70/128,.547,19/26,.731,23,182,9,50,37,12,8,18,2.056,14,4
茶,98/196,.500,33/44,.750,21,250,36,116,58,29,11,30,1.933,20,4
YY,95/200,.475,41/46,.891,22,253,25,107,63,17,8,31,2.032,18,4
sean's Team,119/247,.482,49/64,.766,36,323,35,125,73,16,10,39,1.872,20,4
SINCE’02,91/200,.455,57/71,.803,27,266,29,101,59,10,15,37,1.595,21,4
志在参与,67/145,.462,33/38,.868,26,193,16,57,53,15,5,30,1.767,20,4
歪炮 mvp Team,75/177,.424,40/45,.889,22,212,17,83,55,14,9,36,1.528,20,4
